name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7405.4,8.38,BULLISH,0.58
Nasdaq,^IXIC,US,26087.15,15.44,BULLISH,0.86
Dow Jones,^DJI,US,49809.99,0.72,BULLISH,0.54
Russell 2000,^RUT,US,2843.57,8.71,BULLISH,0.88
FTSE 100,^FTSE,UK,10265.32,-1.32,BEARISH,0.7
DAX,^GDAXI,Germany,23954.93,-3.61,BULLISH,0.88
CAC 40,^FCHI,France,7979.92,-4.32,BEARISH,1.0
Euro Stoxx 50,^STOXX50E,EU,5808.45,-3.37,BULLISH,0.98
Nikkei 225,^N225,Japan,62742.57,8.85,BULLISH,1.47
Hang Seng,^HSI,HK,26347.91,-2.53,BULLISH,0.91
Shanghai Comp,000001.SS,China,4214.49,1.95,BULLISH,0.45
BSE Sensex,^BSESN,India,74559.24,-10.89,BEARISH,0.82
Nifty 50,^NSEI,India,23379.55,-9.41,BEARISH,0.76
KOSPI,^KS11,Korea,7643.15,38.41,BULLISH,1.82
ASX 200,^AXJO,Australia,8670.7,-4.12,BEARISH,0.49
Bovespa,^BVSP,Brazil,180546.73,-3.84,BEARISH,0.83
